Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Num_Shares,Num_Trades,Total_Turnover,Deliverable_Quantity,DQ_TQ,Spread_HighLow,Spread_CloseOpen
26-Jun-23,560,569,557.75,567.85,563.4870435,278045,7642,156674755,81368,29.26,11.25,7.85
23-Jun-23,570,570.8,557.45,559.25,561.0112109,486222,8991,272775993,130485,26.84,13.35,-10.75
22-Jun-23,583.8,584.65,568.4,569.3,575.7033499,416157,8623,239582979,122938,29.54,16.25,-14.5
21-Jun-23,585,585.95,574.5,581.2,580.305757,779848,17238,452550284,247271,31.71,11.45,-3.8
20-Jun-23,565.75,584,562.4,583.3,576.8296596,572894,12328,330462251,140813,24.58,21.6,17.55
19-Jun-23,570.5,573.3,564.35,565.75,568.6963291,296851,7831,168818074,93183,31.39,8.95,-4.75
16-Jun-23,569,572.05,566.15,569.55,568.8853885,258002,6103,146773568,76437,29.63,5.9,0.55
15-Jun-23,571.2,575,567.55,568.25,570.9239066,316729,6603,180828158,84176,26.58,7.45,-2.95
14-Jun-23,567,570.95,563.7,570.15,567.2923371,516739,11538,293142075,228229,44.17,7.25,3.15
13-Jun-23,568.2,571.2,560.8,561.8,564.8224759,539003,10032,304441009,133327,24.74,10.4,-6.4
12-Jun-23,566.2,568.85,560.8,563.7,564.200027,333405,8282,188107110,102914,30.87,8.05,-2.5
09-Jun-23,564.1,566.4,559.4,562.2,563.0133578,475377,7966,267643601,98655,20.75,7,-1.9
08-Jun-23,569.65,576.5,557.15,559.65,565.9110639,1567856,32433,887267057,512718,32.7,19.35,-10
07-Jun-23,557.6,574.95,552.1,567.95,565.3279932,1076315,17482,608470999,228327,21.21,22.85,10.35
06-Jun-23,548.6,557,545.5,555.65,552.6273207,1232722,28472,681235856,555830,45.09,11.5,7.05
05-Jun-23,538.05,548.65,538,546.45,544.6616301,787700,13459,429029966,237811,30.19,10.65,8.4
02-Jun-23,536.6,541.1,532.8,535.75,536.0539112,952306,20265,510487356,398528,41.85,8.3,-0.85
01-Jun-23,526.6,536.2,522.8,535.25,531.2357878,1174802,25152,624096866,615484,52.39,13.4,8.65
31-May-23,520.1,527.65,517,526.45,524.623979,388590,7523,203863632,106897,27.51,10.65,6.35
30-May-23,520.55,523.65,518.05,518.8,520.6670741,184065,4728,95836585,61773,33.56,5.6,-1.75
29-May-23,524.5,524.85,519.7,521.25,521.9890222,539272,15095,281494064,282468,52.38,5.15,-3.25
26-May-23,513.05,519.75,512.2,518.55,516.7642494,352576,7339,182198672,84342,23.92,7.55,5.5
25-May-23,518.8,518.8,509.1,514.7,512.8537079,519276,10233,266312622,180951,34.85,9.7,-4.1
24-May-23,528,529.65,519.25,520.2,523.8171419,319439,6540,167327624,112951,35.36,10.4,-7.8
23-May-23,521.55,531,521.3,528.5,527.1948557,459653,9289,242326697,123289,26.82,9.7,6.95
22-May-23,524.05,526.95,519.45,522.35,522.4687454,451341,9383,235811566,98671,21.86,7.5,-1.7
19-May-23,509.05,526.5,504.75,524.75,516.4768429,814048,12930,420436941,172236,21.16,21.75,15.7
18-May-23,518.35,520.45,507,508.4,512.1332519,1179045,23571,603828150,387214,32.84,13.45,-9.95
17-May-23,522.8,523.95,512.5,515.55,518.7154471,727239,11837,377230103,149176,20.51,11.45,-7.25
16-May-23,533.25,536,519,521.05,529.8481279,849919,14310,450327991,255899,30.11,17,-12.2
15-May-23,525,537.15,521.4,530.8,531.6240592,1518106,23536,807061674,416802,27.46,15.75,5.8
12-May-23,514,520.4,510.15,515.65,515.5702553,2013400,30914,1038049152,577435,28.68,10.25,1.65
11-May-23,511.15,514.2,505.55,511.65,510.0257394,496748,9566,253354266,145475,29.29,8.65,0.5
10-May-23,508,513,504.45,509.45,507.9298477,545627,10112,277140239,130266,23.87,8.55,1.45
09-May-23,501.15,512.65,501.15,503.55,507.2413817,1024419,15538,519627709,211744,20.67,11.5,2.4
08-May-23,478.45,502,478.45,500.2,494.8916475,2637706,53731,1305378668,1648651,62.5,23.55,21.75
05-May-23,480.75,484.75,476.25,477.2,480.8962786,285804,4957,137442080,74216,25.97,8.5,-3.55
04-May-23,482.75,486.5,479,480.75,482.2290796,513232,12607,247495395,208123,40.55,7.5,-2
03-May-23,477.05,485,477.05,483.9,481.4308083,332157,5349,159910613,89923,27.07,7.95,6.85
02-May-23,482.25,484.1,474.6,480.25,479.1965422,901669,22331,432076667,406029,45.03,9.5,-2
28-Apr-23,481.1,487.9,478.4,485.15,484.2463407,426312,7761,206440026,116072,27.23,9.5,4.05
27-Apr-23,475.7,482,475.7,481.5,480.2654897,228717,5442,109844882,79214,34.63,6.3,5.8
26-Apr-23,472.35,479.55,472.35,478.05,477.1582284,429651,7342,205011510,102701,23.9,7.2,5.7
25-Apr-23,471.05,476.25,471.05,473.3,474.2854008,279323,4806,132478821,81800,29.28,5.2,2.25
24-Apr-23,471,475.9,468.5,475.05,472.450595,425797,7619,201168046,97152,22.82,7.4,4.05
21-Apr-23,476.15,476.8,467.2,471,470.7866359,450971,7415,212311120,123712,27.43,9.6,-5.15
20-Apr-23,472.6,479.7,469.25,476.8,474.3345272,524346,10280,248715412,172316,32.86,10.45,4.2
